i,female,male,t,wt mouse intestinal epithelial cells,mouse embryonic stem cell,primary visual cortex,epidermis,dorsal horn,brain,tumor b16f10 melanoma,ventral midbrain,mouse back skin,hypothalamus,striatum,pancreatic islets,ca1hippocampus,sn-vta,"in vitro differentiation of mescs into motor neurons, main experiment",bone marrow,primary visual cortex (visp),pancreas,sscortex,liver,mus musculus cd8 tils,"hscs identified by cell surface markers, isolated from mouse bone marrow.",mammary gland,cortex,lung,embryo
24678,False,True,mouse peritoneal macrophages,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24680,False,True,adult amygdala,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24682,True,False,ventral midbrain,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24684,True,False,embryo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24692,True,False,epidermis,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24695,False,True,liver,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24702,False,True,ca1hippocampus,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
24707,True,False,ventral midbrain,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24708,True,False,sscortex,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24709,True,False,substantia nigra-ventral tegmental area,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24711,True,False,ventral midbrain,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24713,True,False,ca1hippocampus,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
